epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.14289,1.31102,3.82558,1.55303,0.56157,0.31702,0.43444,0.37677,0.66936,2.77936,1.04582,7.5e-05,7.5e-05,7.5e-05
2,10.971,0.8121,1.34367,1.10596,0.68569,0.70892,0.75854,0.62716,0.68308,2.35919,1.02516,0.000159282,0.000159282,0.000159282
3,16.7258,0.79767,1.00635,1.11403,0.81766,0.78518,0.85592,0.68223,0.765,1.80839,1.06273,0.0002401,0.0002401,0.0002401
4,22.0489,0.76915,0.87718,1.0693,0.76694,0.78787,0.87135,0.65886,0.8169,2.48379,1.11695,0.000317452,0.000317452,0.000317452
5,27.2006,0.77854,0.82305,1.07311,0.63669,0.6988,0.80138,0.59016,0.90857,1.82651,1.09377,0.00039134,0.00039134,0.00039134
6,32.6685,0.76303,0.77944,1.05035,0.71559,0.76909,0.83142,0.63474,1.00127,2.22895,1.37638,0.000461763,0.000461763,0.000461763
7,38.0448,0.7503,0.69451,1.06444,0.87572,0.7435,0.89388,0.66503,0.90055,1.61053,1.15567,0.00052872,0.00052872,0.00052872
8,43.4127,0.78241,0.72574,1.05701,0.64574,0.76854,0.80783,0.5914,1.02095,2.12029,1.40518,0.000592213,0.000592213,0.000592213
9,48.7805,0.75469,0.75107,1.08824,0.60906,0.69146,0.77957,0.55277,1.30519,3.04601,2.31174,0.00065224,0.00065224,0.00065224
10,54.1996,0.7848,0.70189,1.10154,0.91541,0.61048,0.8054,0.61646,0.89234,1.32067,1.20788,0.000708803,0.000708803,0.000708803
11,59.5035,0.7573,0.67376,1.08102,0.6077,0.73426,0.68579,0.48844,1.02493,1.90303,1.2842,0.0007619,0.0007619,0.0007619
12,64.8959,0.76902,0.66074,1.08189,0.54912,0.66907,0.67636,0.49715,1.03155,2.5513,1.4007,0.000811533,0.000811533,0.000811533
13,70.199,0.74583,0.62522,1.07269,0.5877,0.62746,0.66639,0.48618,1.02813,2.22429,1.33759,0.0008577,0.0008577,0.0008577
14,75.5896,0.76745,0.6526,1.09259,0.70098,0.66752,0.78512,0.57624,1.00421,1.99827,1.44555,0.000900402,0.000900402,0.000900402
15,80.9503,0.80074,0.63368,1.08241,0.69413,0.74594,0.76616,0.51841,1.15384,1.99843,1.45545,0.0009035,0.0009035,0.0009035
16,86.3029,0.74209,0.65271,1.05084,0.67498,0.70293,0.76588,0.55771,1.05838,2.21297,1.28837,0.00087875,0.00087875,0.00087875
17,91.6178,0.70237,0.56975,1.02747,0.71639,0.71992,0.77906,0.57616,1.043,2.31531,1.29105,0.000854,0.000854,0.000854
18,96.9931,0.71928,0.57717,1.04307,0.82135,0.68215,0.81522,0.61206,0.95911,1.49804,1.20408,0.00082925,0.00082925,0.00082925
19,102.377,0.69206,0.55622,1.0323,0.85918,0.74368,0.86248,0.6777,0.8679,1.27614,1.17331,0.0008045,0.0008045,0.0008045
20,107.711,0.70198,0.59459,1.02225,0.85793,0.80818,0.887,0.67441,0.86155,1.12289,1.13835,0.00077975,0.00077975,0.00077975
21,113.037,0.73467,0.59517,1.09182,0.89768,0.78491,0.85017,0.62107,0.92781,1.15079,1.17247,0.000755,0.000755,0.000755
22,118.353,0.63196,0.5253,1.00209,0.89566,0.81372,0.88327,0.69548,0.82967,0.99154,1.12367,0.00073025,0.00073025,0.00073025
23,123.903,0.66813,0.49997,1.02311,0.8755,0.90064,0.91477,0.70806,0.87061,0.92912,1.1882,0.0007055,0.0007055,0.0007055
24,129.558,0.6292,0.50735,1.01667,0.93571,0.88649,0.92606,0.72206,0.84078,0.72391,1.15432,0.00068075,0.00068075,0.00068075
25,135.164,0.62018,0.47344,0.99276,0.85894,0.91862,0.91283,0.69943,0.84523,0.78529,1.1585,0.000656,0.000656,0.000656
26,140.632,0.63515,0.49773,1.01158,0.89896,0.85928,0.90978,0.70929,0.81591,0.72342,1.15814,0.00063125,0.00063125,0.00063125
27,146.049,0.60127,0.4539,0.98474,0.90792,0.85295,0.9194,0.75397,0.75458,0.68269,1.08936,0.0006065,0.0006065,0.0006065
28,151.672,0.59784,0.43766,0.99185,0.89601,0.81412,0.91796,0.74032,0.77442,0.7709,1.08922,0.00058175,0.00058175,0.00058175
29,157.049,0.59848,0.42905,0.96696,0.84292,0.82782,0.90886,0.72398,0.77955,0.78864,1.0983,0.000557,0.000557,0.000557
30,162.392,0.62718,0.45646,1.00606,0.89268,0.86231,0.91859,0.73407,0.7565,0.7618,1.10173,0.00053225,0.00053225,0.00053225
31,167.891,0.5648,0.41514,0.9689,0.92333,0.86075,0.93441,0.74235,0.74582,0.73484,1.09604,0.0005075,0.0005075,0.0005075
32,173.323,0.56931,0.43132,0.97188,0.91647,0.8993,0.9353,0.7478,0.75367,0.69574,1.07577,0.00048275,0.00048275,0.00048275
33,178.682,0.542,0.40049,0.97498,0.89927,0.90613,0.93064,0.76114,0.73173,0.70985,1.06278,0.000458,0.000458,0.000458
34,184.305,0.55073,0.4066,0.96732,0.90138,0.90376,0.9162,0.75559,0.71458,0.73659,1.0369,0.00043325,0.00043325,0.00043325
35,189.695,0.5432,0.40122,0.96822,0.92455,0.89835,0.93489,0.77294,0.70864,0.66289,1.0082,0.0004085,0.0004085,0.0004085
36,195.366,0.55412,0.4106,0.95963,0.92941,0.90041,0.95199,0.80012,0.67474,0.60772,0.99934,0.00038375,0.00038375,0.00038375
37,200.997,0.53105,0.3824,0.95375,0.94972,0.90727,0.9544,0.80949,0.65647,0.59143,0.99117,0.000359,0.000359,0.000359
38,206.775,0.52992,0.39618,0.96161,0.94167,0.93973,0.95629,0.80469,0.66811,0.52976,1.00642,0.00033425,0.00033425,0.00033425
