epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,212.132,0.4997,0.37251,0.93347,0.9458,0.93478,0.9558,0.79669,0.68785,0.48961,1.01374,0.0003095,0.0003095,0.0003095
40,217.548,0.51104,0.38062,0.95836,0.94348,0.93254,0.95416,0.79602,0.69824,0.49609,1.02712,0.00028475,0.00028475,0.00028475
41,224.334,0.45082,0.38927,0.89664,0.93796,0.93345,0.95484,0.7866,0.69862,0.5096,1.02992,0.00026,0.00026,0.00026
42,229.841,0.47075,0.36266,0.9092,0.94694,0.88912,0.95071,0.78397,0.69938,0.54759,1.02352,0.00023525,0.00023525,0.00023525
43,235.245,0.45249,0.3648,0.89348,0.92562,0.92668,0.94082,0.77906,0.6936,0.54698,1.01189,0.0002105,0.0002105,0.0002105
44,240.608,0.41716,0.32111,0.88893,0.93846,0.9242,0.93717,0.77227,0.67983,0.56013,0.99747,0.00018575,0.00018575,0.00018575
45,245.926,0.43164,0.31412,0.87763,0.9428,0.9257,0.93693,0.77175,0.6702,0.55284,0.99295,0.000161,0.000161,0.000161
46,251.248,0.41312,0.30258,0.87498,0.93922,0.91483,0.93956,0.79263,0.6529,0.54999,0.98193,0.00013625,0.00013625,0.00013625
47,256.58,0.39958,0.29961,0.87998,0.92995,0.9114,0.94534,0.79066,0.65382,0.54757,0.98438,0.0001115,0.0001115,0.0001115
48,261.945,0.39772,0.29035,0.87362,0.92569,0.91832,0.94539,0.79452,0.65352,0.52696,0.98525,8.675e-05,8.675e-05,8.675e-05
49,267.321,0.40127,0.30595,0.88454,0.93532,0.90069,0.94671,0.80778,0.6504,0.52691,0.98306,6.2e-05,6.2e-05,6.2e-05
50,272.661,0.37528,0.27846,0.87043,0.92253,0.92384,0.94815,0.81381,0.65043,0.52146,0.98364,3.725e-05,3.725e-05,3.725e-05
